Company Name,Supplier Type,Brand Name,Product Categories,Key Strength Sub Categories,Secondary Products,Country,Province,City,Town,Address,Primary Contact Name,Calling Number,Email,Current Status,Supplier Grade,Potential,Visited Factory?,Visit Remarks
test1,Trader,Yinglima Supplier 2,Food Ingredients,Citric Acid,Spare Parts 2,China,Zhejiang,Hangzhou,Industrial Zone 2,No. 10 Industry Road,Mr. Manager 1,+86 13800000001,supplier1@yinglima.com,NEW,Grade C,NO,No,Verified supplier test record 1
test2,Manufacturer,Yinglima Supplier 3,Chemicals,Caustic Soda,Spare Parts 3,China,Zhejiang,Ningbo,Industrial Zone 3,No. 20 Industry Road,Mr. Manager 2,+86 13800000002,supplier2@yinglima.com,NEW,Grade B,NO,No,Verified supplier test record 2
test3,Trader,Yinglima Supplier 4,Tech/Feed Grade Ingredients,Spares for Band Sealer,Spare Parts 4,China,Zhejiang,Qingdao,Industrial Zone 4,No. 30 Industry Road,Mr. Manager 3,+86 13800000003,supplier3@yinglima.com,NEW,Grade A,NO,No,Verified supplier test record 3
test4,Manufacturer,Yinglima Supplier 5,Filteration,Vacuum Packers,Spare Parts 5,China,Zhejiang,Weifang,Industrial Zone 5,No. 40 Industry Road,Mr. Manager 4,+86 13800000004,supplier4@yinglima.com,NEW,Grade B,NO,Yes,Verified supplier test record 4
test5,Trader,Yinglima Supplier 6,Pumps,Solvents,Spare Parts 1,China,Zhejiang,Shanghai,Industrial Zone 6,No. 50 Industry Road,Mr. Manager 5,+86 13800000005,supplier5@yinglima.com,NEW,Grade C,NO,No,Verified supplier test record 5
test6,Manufacturer,Yinglima Supplier 7,Machines,Band Sealer,Spare Parts 2,China,Zhejiang,Guangzhou,Industrial Zone 7,No. 60 Industry Road,Mr. Manager 6,+86 13800000006,supplier6@yinglima.com,NEW,Grade A,NO,No,Verified supplier test record 6
test7,Trader,Yinglima Supplier 8,Food Ingredients,Citric Acid,Spare Parts 3,China,Zhejiang,Shenzhen,Industrial Zone 8,No. 70 Industry Road,Mr. Manager 7,+86 13800000007,supplier7@yinglima.com,NEW,Grade C,NO,No,Verified supplier test record 7
test8,Manufacturer,Yinglima Supplier 9,Chemicals,Caustic Soda,Spare Parts 4,China,Zhejiang,Jinan,Industrial Zone 9,No. 80 Industry Road,Mr. Manager 8,+86 13800000008,supplier8@yinglima.com,NEW,Grade B,NO,Yes,Verified supplier test record 8
test9,Trader,Yinglima Supplier 10,Tech/Feed Grade Ingredients,Spares for Band Sealer,Spare Parts 5,China,Zhejiang,Yiwu,Industrial Zone 10,No. 90 Industry Road,Mr. Manager 9,+86 13800000009,supplier9@yinglima.com,NEW,Grade A,NO,No,Verified supplier test record 9
test10,Manufacturer,Yinglima Supplier 1,Filteration,Vacuum Packers,Spare Parts 1,China,Zhejiang,Wenzhou,Industrial Zone 11,No. 100 Industry Road,Mr. Manager 10,+86 13800000010,supplier10@yinglima.com,NEW,Grade B,NO,No,Verified supplier test record 10
test11,Trader,Yinglima Supplier 2,Pumps,Solvents,Spare Parts 2,China,Zhejiang,Hangzhou,Industrial Zone 12,No. 110 Industry Road,Mr. Manager 11,+86 13800000011,supplier11@yinglima.com,NEW,Grade C,NO,No,Verified supplier test record 11
test12,Manufacturer,Yinglima Supplier 3,Machines,Band Sealer,Spare Parts 3,China,Zhejiang,Ningbo,Industrial Zone 13,No. 120 Industry Road,Mr. Manager 12,+86 13800000012,supplier12@yinglima.com,NEW,Grade A,NO,Yes,Verified supplier test record 12
test13,Trader,Yinglima Supplier 4,Food Ingredients,Citric Acid,Spare Parts 4,China,Zhejiang,Qingdao,Industrial Zone 14,No. 130 Industry Road,Mr. Manager 13,+86 13800000013,supplier13@yinglima.com,NEW,Grade C,NO,No,Verified supplier test record 13
test14,Manufacturer,Yinglima Supplier 5,Chemicals,Caustic Soda,Spare Parts 5,China,Zhejiang,Weifang,Industrial Zone 15,No. 140 Industry Road,Mr. Manager 14,+86 13800000014,supplier14@yinglima.com,NEW,Grade B,NO,No,Verified supplier test record 14
